code,name,price,today_pct,score,window_ret_pct,rs_up_rate,rs_mean_pct,rs_excess_pct,avg_up_pct,max_up_pct,avg_turn_pct,last_turn_pct,vol_ratio,max_dd_pct,up_day_ratio,nmc_yi,up_on_down,down_days
600674,川投能源,15.54,-0.321,100.0,3.74,1.0,1.44,2.6,1.06,2.23,0.59,0.43,0.72,-1.93,0.533,757.51,5,5
601939,建设银行,10.66,0.0,98.67,7.03,1.0,1.04,2.21,0.83,1.51,1.42,1.32,0.93,-0.58,0.667,1022.68,5,5
600795,国电电力,5.14,-0.388,98.03,2.8,1.0,0.99,2.16,0.84,1.99,0.7,0.69,0.99,-1.38,0.533,916.75,5,5
601088,中国神华,47.17,0.597,95.4,9.7,0.8,1.1,2.27,1.01,2.26,0.17,0.16,0.94,-1.41,0.733,7778.82,4,5
601077,渝农商行,6.87,-2.415,94.04,6.35,0.8,1.5,2.66,1.08,3.38,0.69,0.64,0.93,-2.41,0.6,607.19,4,5
600926,杭州银行,16.62,-1.189,93.81,2.91,0.8,1.11,2.28,0.85,1.91,0.49,0.41,0.85,-1.55,0.6,1204.78,4,5
601328,交通银行,7.16,-0.556,93.52,3.32,1.0,1.06,2.22,0.73,2.0,0.56,0.55,0.99,-0.86,0.533,1866.79,5,5
601229,上海银行,9.72,-1.52,92.67,4.74,0.8,0.96,2.13,0.86,2.41,0.44,0.43,0.97,-1.52,0.667,1381.12,4,5
002508,老板电器,16.56,-0.06,91.82,5.41,0.8,1.6,2.77,2.1,4.32,1.17,0.74,0.63,-2.93,0.4,154.6,4,5
600968,海油发展,4.01,-0.249,91.22,3.89,0.8,0.86,2.03,0.96,2.83,0.36,0.32,0.89,-1.54,0.533,407.62,4,5
600900,长江电力,28.21,0.213,90.62,1.62,1.0,0.81,1.97,0.76,1.08,0.39,0.37,0.95,-1.62,0.467,6902.48,5,5
600177,雅戈尔,7.9,-1.496,90.01,4.36,0.8,0.77,1.93,0.93,1.65,0.6,0.58,0.98,-1.5,0.6,355.77,4,5
000333,美的集团,86.69,0.814,89.54,1.43,0.8,0.95,2.11,1.13,2.16,0.37,0.37,1.01,-3.52,0.533,5968.48,4,5
002142,宁波银行,33.56,-1.003,88.85,6.03,0.8,0.64,1.8,1.21,3.64,0.42,0.37,0.88,-1.81,0.533,2214.75,4,5
601665,齐鲁银行,6.52,-0.61,88.08,6.02,0.8,0.56,1.73,1.01,1.93,0.65,0.69,1.06,-0.61,0.533,401.23,4,5
601963,重庆银行,11.16,-0.446,86.78,1.82,0.8,0.62,1.79,1.22,2.46,0.59,0.64,1.07,-2.0,0.467,227.0,4,5
002948,青岛银行,5.91,-1.5,86.56,3.14,0.8,0.66,1.82,1.04,2.43,0.99,1.13,1.15,-2.24,0.6,208.16,4,5
002003,伟星股份,10.89,1.302,86.09,4.61,0.8,1.03,2.19,1.45,2.87,1.24,1.34,1.08,-5.56,0.6,111.31,4,5
600028,中国石化,5.36,0.563,85.96,7.63,0.6,1.22,2.38,1.25,4.51,0.26,0.32,1.25,-2.54,0.6,5078.73,3,5
600997,开滦股份,5.66,0.0,85.8,1.07,0.8,0.8,1.96,1.28,2.35,0.85,0.9,1.05,-3.39,0.4,89.87,4,5
601825,沪农商行,8.81,-1.122,84.11,5.26,0.6,0.99,2.16,1.29,2.65,0.29,0.34,1.16,-1.55,0.467,830.99,3,5
600919,江苏银行,12.04,-0.742,83.1,3.79,0.6,0.82,1.98,1.25,2.05,0.49,0.5,1.01,-1.61,0.533,2209.5,3,5
601658,邮储银行,5.04,0.0,82.09,1.61,0.8,0.61,1.77,0.57,1.2,0.18,0.19,1.05,-1.21,0.4,3655.4,4,5
601225,陕西煤业,26.52,0.075,81.63,11.01,0.6,0.7,1.87,1.68,4.14,0.41,0.33,0.8,-3.69,0.6,2571.11,3,5
601919,中远海控,17.07,-2.009,80.58,10.84,0.6,0.78,1.94,1.55,3.77,0.74,1.07,1.44,-2.49,0.667,2143.4,3,5
000651,格力电器,41.62,0.41,80.39,3.35,0.6,0.76,1.92,0.88,3.15,0.74,0.88,1.19,-1.92,0.467,2298.26,3,5
601018,宁波港,3.45,0.583,80.07,1.77,0.6,0.54,1.7,0.94,1.8,0.28,0.26,0.93,-2.06,0.4,671.18,3,5
600803,新奥股份,17.86,1.593,79.7,3.42,0.6,0.48,1.64,1.01,1.74,0.22,0.25,1.16,-2.18,0.533,548.61,3,5
605008,长鸿高科,12.91,-2.271,79.41,12.75,0.6,0.61,1.77,1.58,3.01,0.85,1.15,1.35,-2.27,0.667,83.39,3,5
600377,宁沪高速,12.25,0.492,79.1,2.6,0.6,0.47,1.64,0.83,2.27,0.23,0.3,1.29,-1.65,0.467,465.77,3,5
600740,山西焦化,3.82,1.867,79.0,7.91,0.6,1.45,2.61,2.12,4.18,1.91,3.0,1.58,-4.28,0.533,97.87,3,5
600350,山东高速,10.9,1.584,78.87,1.11,0.6,0.69,1.85,0.91,1.61,0.29,0.34,1.2,-4.54,0.533,526.97,3,5
601128,常熟银行,6.33,0.317,78.79,1.77,0.8,0.45,1.62,0.56,1.14,1.18,1.24,1.05,-2.09,0.6,230.93,4,5
600059,古越龙山,8.14,1.244,78.59,0.12,0.6,1.18,2.35,2.02,4.86,1.8,1.1,0.61,-6.41,0.4,74.2,3,5
601766,中国中车,6.13,0.822,77.75,3.03,0.6,0.13,1.3,1.02,1.64,0.58,0.41,0.71,-2.49,0.6,1491.29,3,5
600256,广汇能源,6.17,0.162,77.58,14.9,0.6,0.45,1.61,1.62,4.1,1.96,1.86,0.95,-1.87,0.733,394.39,3,5
603116,红蜻蜓,6.57,1.233,77.14,11.36,0.6,0.41,1.58,1.98,3.67,1.24,1.18,0.95,-3.88,0.733,37.86,3,5
601318,中国平安,55.01,0.164,76.72,1.83,0.6,0.49,1.65,0.86,2.94,0.65,0.69,1.07,-5.0,0.6,5864.1,3,5
600123,兰花科创,7.26,-0.548,76.7,4.76,0.6,0.44,1.61,1.13,3.58,1.79,1.65,0.92,-1.64,0.533,106.96,3,5
600348,华阳股份,8.97,-1.211,76.34,6.15,0.6,0.2,1.36,1.36,3.5,0.85,0.84,1.0,-2.61,0.6,323.59,3,5
