code,name,price,today_pct,score,window_ret_pct,rs_up_rate,rs_mean_pct,rs_excess_pct,avg_up_pct,max_up_pct,avg_turn_pct,last_turn_pct,vol_ratio,max_dd_pct,nmc_yi
002508,老板电器,16.56,-0.06,91.82,5.41,0.8,1.6,2.77,2.1,4.32,1.17,0.74,0.63,-2.93,154.6
002003,伟星股份,10.89,1.302,86.09,4.61,0.8,1.03,2.19,1.45,2.87,1.24,1.34,1.08,-5.56,111.31
600997,开滦股份,5.66,0.0,85.8,1.07,0.8,0.8,1.96,1.28,2.35,0.85,0.9,1.05,-3.39,89.87
605008,长鸿高科,12.91,-2.271,79.41,12.75,0.6,0.61,1.77,1.58,3.01,0.85,1.15,1.35,-2.27,83.39
600740,山西焦化,3.82,1.867,79.0,7.91,0.6,1.45,2.61,2.12,4.18,1.91,3.0,1.58,-4.28,97.87
600059,古越龙山,8.14,1.244,78.59,0.12,0.6,1.18,2.35,2.02,4.86,1.8,1.1,0.61,-6.41,74.2
603116,红蜻蜓,6.57,1.233,77.14,11.36,0.6,0.41,1.58,1.98,3.67,1.24,1.18,0.95,-3.88,37.86
600123,兰花科创,7.26,-0.548,76.7,4.76,0.6,0.44,1.61,1.13,3.58,1.79,1.65,0.92,-1.64,106.96
301003,江苏博云,57.7,0.348,76.1,17.28,0.6,0.72,1.88,2.41,6.08,2.76,2.67,0.97,-4.06,43.36
601008,连云港,4.48,2.752,75.17,1.59,0.6,0.87,2.03,1.55,3.86,1.26,2.12,1.69,-5.25,55.58
600834,申通地铁,7.48,2.186,75.16,2.05,0.6,0.08,1.25,1.01,2.72,0.5,0.5,0.99,-3.17,35.71
603055,台华新材,9.15,3.977,74.3,8.8,0.6,0.24,1.4,1.86,4.14,0.9,1.1,1.22,-3.44,81.3
301039,中集车辆,8.3,0.484,72.65,1.47,0.6,0.52,1.68,1.46,3.51,1.14,1.78,1.56,-5.01,120.1
300826,测绘股份,14.94,0.403,72.38,11.49,0.6,0.33,1.49,2.36,5.3,2.86,2.28,0.8,-3.68,32.8
600073,光明肉业,5.37,1.512,72.1,4.27,0.6,0.06,1.22,2.02,3.23,1.46,1.31,0.89,-3.31,50.36
301331,恩威医药,22.33,2.244,70.63,7.0,0.6,0.05,1.21,1.26,2.24,1.85,2.12,1.14,-4.25,22.92
605168,三人行,46.87,-1.326,70.35,19.05,0.6,0.12,1.28,2.6,4.83,2.99,2.67,0.89,-3.64,98.81
300787,海能实业,10.42,5.146,67.44,19.09,0.6,0.25,1.42,2.46,6.76,3.56,3.64,1.02,-5.71,20.48
000430,张家界,6.85,1.935,66.2,4.26,0.6,0.02,1.18,1.27,2.63,2.26,4.15,1.84,-4.01,25.38
002852,道道全,8.06,3.069,62.53,4.4,0.6,0.05,1.22,1.91,3.68,3.4,3.76,1.1,-7.89,23.04
