code,name,height,start,end,days_in_window,industry,region,market,peak_price,peak_float_mv_yi,cap_bucket,price_bucket,avg_turnover,yiziban_days,list_date,list_age_years,is_subnew,is_st,concepts
600381,*ST春天,11,20260428,20260515,11,食品饮料,青海板块,ST/沪市主板,5.31,31.1729253471,20-50亿,5-10元,,8,2001-05-08,25.30321697467488,False,True,白酒、中药概念、食品饮料、2026中报首亏、青海板块、保健品、食品加工
603221,爱丽家居,10,20260721,20260806,10,轻工制造,江苏板块,沪市主板,24.79,60.058733,50-100亿,20-50元,,9,2020-03-23,6.4284736481861735,False,False,拼多多概念、贬值受益、电商概念、养老概念、长江三角、家居用品、2026中报首亏、江苏板块
000609,*ST中迪,10,20260420,20260507,10,房地产,北京板块,ST/深市主板,15.9,46.223370491764705,20-50亿,10-20元,,8,1996-10-10,29.87816563997262,False,True,北交所概念、半导体概念、互联网金融、创投、房地产开发、北京板块、住宅开发、房地产
002207,*ST准油,9,20260430,20260515,9,石油石化,新疆板块,ST/深市主板,10.15,26.47240785,20-50亿,10-20元,,4,2008-01-28,18.579055441478438,False,True,一带一路、央国企改革、油气设服、西部大开发、石油石化、油气资源、油田服务、新疆板块
003032,传智教育,8,20260727,20260805,8,社会服务,江苏板块,深市主板,11.73,33.3696926184,20-50亿,10-20元,,2,2021-01-12,5.620807665982204,False,False,鸿蒙概念、华为概念、教育、在线教育、2026中报扭亏、近期摘帽、微利股、昨日高换手
603137,恒尚节能,8,20260615,20260709,8,建筑装饰,江苏板块,沪市主板,25.2,46.09920016841243,20-50亿,20-50元,,5,2023-04-19,3.356605065023956,False,False,装配建筑、装修装饰Ⅱ、节能环保、昨日首板、江苏板块、装修装饰Ⅲ、建筑装饰、新型城镇化
002514,*ST宝馨,8,20260511,20260520,8,机械设备,江苏板块,ST/深市主板,4.33,23.9896121862,20-50亿,<5元,,6,2010-12-03,15.731690622861054,False,True,储能概念、换电概念、碳交易、医废处理、华为概念、充电桩、光伏概念、智能电网
001259,利仁科技,8,20260511,20260520,8,家用电器,北京板块,深市主板,80.53,38.287585044699995,20-50亿,>50元,,4,2022-08-31,3.9890485968514717,False,False,电商概念、家用电器、北京板块、厨房小家电、小家电
600721,百花医药,7,20260804,20260812,7,医药生物,新疆板块,沪市主板,14.03,53.9520331905,50-100亿,10-20元,,2,1996-06-26,30.168377823408623,False,False,流感、CRO、医疗服务、央国企改革、西部大开发、百日新高、近期新高、创新医疗服务
002822,ST中装,7,20260623,20260701,7,房地产,广东板块,ST/深市主板,3.36,35.9166021648,20-50亿,<5元,,3,2016-11-29,9.741273100616016,False,True,深圳特区、广东板块、物业管理、房地产、房地产服务
002674,兴业科技,7,20260618,20260629,7,纺织服饰,福建板块,深市主板,31.7,92.74267767911367,50-100亿,20-50元,,5,2012-05-07,14.30527036276523,False,False,华为汽车、新能源车、纺织服饰、福建板块、辅料、纺织制造、机器人概念
600265,*ST景谷,7,20260526,20260603,7,农林牧渔,云南板块,ST/沪市主板,28.3,36.7334,20-50亿,20-50元,,6,2000-08-25,26.0041067761807,False,True,西部大开发、稀缺资源、农林牧渔、云南板块、林业Ⅲ、林业Ⅱ、算力概念
600745,*ST闻泰,7,20260525,20260602,7,电子,湖北板块,ST/沪市主板,22.79,290.31480184244896,>200亿,20-50元,,3,1996-08-28,29.9958932238193,False,True,汽车芯片、第三代半导体、数据中心、半导体概念、氮化镓、MSCI中国、股权激励、转债标的
