代码,SECUCODE,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,_absnet,in_streak,连板数,有机构,机构买入家数,净买亿,买亿,卖亿,阶段
600397,600397.SH,江钨装备,20260623,1家机构买入，成功率50.35%,24.44,9.991,457969789.59,807797611.59,349827822.0,1157625433.59,4891686272.0,9.362206898088,23.665161034882,17.9811,24194619516.08,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,4.37806874,5.07364975,11.41571195,-14.97545008,457969789.59,True,5,True,1.0,4.5796978959,8.0779761159,3.49827822,高位(5板+)
300862,300862.SZ,蓝盾光电,20260814,买一主买，成功率24.32%,47.29,19.9949,373823224.21,692549215.61,318725991.4,1011275207.01,3494569129.0,10.697262249237,28.938480530199,51.6853,7163063921.03,日换手率达到30%的前5只证券,15.81729753,19.47557623,9.53689998,,373823224.21,True,5,False,,3.7382322420999996,6.9254921561,3.1872599139999997,高位(5板+)
002297,002297.SZ,博云新材,20260420,3家机构买入，成功率34.88%,19.46,10.0057,324008872.0,690820612.83,366811740.83,1057632353.66,5751709191.0,5.633262413666,18.388140264722,15.084,11152619777.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.41521069,4.2651593,5.49845838,27.18396711,324008872.0,True,6,True,3.0,3.24008872,6.908206128300001,3.6681174082999997,高位(5板+)
002081,002081.SZ,金螳螂,20260429,1家机构买入，成功率49.81%,5.36,10.0616,323381256.98,582765614.98,259384358.0,842149972.98,3850910393.0,8.397527440987,21.868854038017,11.8767,14173144431.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.07462687,21.08208955,35.26119403,31.90298507,323381256.98,True,2,True,1.0,3.2338125698,5.8276561498,2.59384358,低位(1-2板)
601991,601991.SH,大唐发电,20260508,买一主买，成功率50.56%,5.54,9.9206,302791949.62,897797934.52,595005984.9,1492803919.42,8340515705.0,3.630374431625,17.898220832137,9.8102,68674333647.24,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.92779783,20.93862816,42.96028881,24.36823105,302791949.62,True,3,False,,3.0279194962,8.9779793452,5.950059849,中位(3-4板)
600726,600726.SH,华电能源,20260528,买一主买，成功率47.98%,9.21,10.0358,291453668.66,451437678.66,159984010.0,611421688.66,3198053229.0,9.11347147124,19.118558850604,3.1274,68956278476.182,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.98914224,3.14875136,12.81216069,-11.834962,291453668.66,True,4,False,,2.9145366866000004,4.514376786600001,1.5998401,中位(3-4板)
002827,002827.SZ,高争民爆,20260804,2家机构买入，成功率41.34%,41.87,10.0105,240260326.32,535210175.08,294949848.76,830160023.84,3479161119.0,6.905697037367,23.86092495994,21.2025,11556072896.25,连续三个交易日内，涨幅偏离值累计达到20%的证券,6.90231669,17.60210174,39.98089324,39.7181753,240260326.32,True,5,True,2.0,2.4026032632,5.3521017508,2.9494984876,高位(5板+)
001258,001258.SZ,立新能源,20260722,1家机构买入，成功率42.87%,11.01,9.99,182004133.16,438395344.4,256391211.24,694786555.64,2976489647.0,6.114724213586,23.342481850736,6.5605,10275870915.09,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99091735,18.34695731,5.44959128,22.88828338,182004133.16,True,5,True,1.0,1.8200413316,4.383953443999999,2.5639121124,高位(5板+)
002552,002552.SZ,宝鼎科技,20260806,4家机构买入，成功率10.60%,43.27,9.9898,-174958547.0,387074954.0,562033501.0,949108455.0,1945923100.0,-8.991030889145,48.774201560175,4.811,15945137315.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.00693321,21.00762653,35.56736769,31.82343425,174958547.0,True,3,True,4.0,-1.74958547,3.87074954,5.62033501,中位(3-4板)
600726,600726.SH,华电能源,20260526,普通席位买入，成功率49.72%,7.61,9.9711,163853479.0,323148717.0,159295238.0,482443955.0,2469907050.0,6.633993736728,19.532878980203,2.7166,56988828543.35,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9868594,21.02496715,21.41918528,18.92247043,163853479.0,True,2,False,,1.63853479,3.23148717,1.59295238,低位(1-2板)
