code,name,peak_date,height,后1日%,后2日%,后5日%
600381,*ST春天,20260515,11,1.31826742,-3.76647834,-11.67608286
002207,*ST准油,20260515,9,-5.02463054,-0.2955665,-14.38423645
003032,传智教育,20260805,8,-6.64961637,-1.96078431,10.05967604
002514,*ST宝馨,20260520,8,3.926097,-1.15473441,11.31639723
001259,利仁科技,20260520,8,9.27604619,-1.65155843,-7.11536074
600721,百花医药,20260812,7,3.34996436,-1.56806842,-2.20955096
002822,ST中装,20260701,7,-2.67857143,2.08333333,-6.25
603779,威龙股份,20260521,7,-9.9862259,-4.82093664,-24.93112948
001258,立新能源,20260723,6,7.59702725,18.33195706,1.9818332
000004,国华退,20260703,6,-8.88888889,-11.11111111,2.22222222
603595,ST东尼,20260626,6,-5.00270416,-9.76203353,-2.65008112
600403,大有能源,20260608,6,-9.94413408,-14.52513966,-27.03910615
002323,*ST雅博,20260601,6,-1.94805195,3.24675325,-7.14285714
002297,博云新材,20260420,6,-2.41521069,4.2651593,5.49845838
002412,汉森制药,20260825,5,6.16382806,13.70640714,
300862,蓝盾光电,20260814,5,15.81729753,19.47557623,9.53689998
600272,开开实业,20260812,5,-7.3537927,1.91082803,12.91256514
002827,高争民爆,20260804,5,6.90231669,17.60210174,39.98089324
605179,一鸣食品,20260803,5,1.78320038,9.52604411,17.87893008
002879,长缆科技,20260727,5,-4.83383686,-9.71802618,-9.96978852
600664,哈药股份,20260716,5,7.89473684,7.48987854,21.45748988
603789,ST星农,20260706,5,-8.58369099,0.57224607,-7.8683834
600180,*ST瑞茂,20260702,5,1.44927536,11.5942029,1.44927536
600397,江钨装备,20260623,5,4.37806874,5.07364975,11.41571195
002717,*ST岭南,20260608,5,0.85470085,-1.70940171,1.70940171
600162,香江控股,20260529,5,4.65949821,15.05376344,23.29749104
002856,*ST美芝,20260515,5,2.94771969,8.12013348,0.94549499
002081,金 螳 螂,20260507,5,-4.76190476,1.54061625,11.06442577
603272,*ST联翔,20260506,5,-5.01066098,-7.24946695,7.39161336
603318,水发燃气,20260428,5,5.58780842,3.48330914,-14.00580552
