code,name,nmc
600000,浦发银行,31407405.5169
600004,白云机场,1867340.725287
600006,东风股份,1072000.0
600007,中国国贸,1908800.40193
600008,首创环保,2055365.38956
600009,上海机场,5920282.37108
600010,包钢股份,6921324.827027
600011,华能国际,7544429.004434
600012,皖通高速,1924405.6
600015,华夏银行,9724725.557256
600016,民生银行,12801826.479893
600017,日照港,876561.35808
600018,上港集团,12640127.910954
600019,宝钢股份,12548660.108914
600020,中原高速,876475.01448
600021,上海电力,3801066.709335
600022,山东钢铁,1433645.840236
600023,浙能电力,6543461.581512
600025,华能水电,18183947.994832
600026,中远海能,7786135.638504
600027,华电国际,4460387.826268
600028,中国石化,51924356.5055
600029,南方航空,6778917.511552
600030,中信证券,34082166.176226
600031,三一重工,16948780.074
600032,浙江新能,1618346.493052
600033,福建高速,998961.6
600035,楚天高速,597352.999271
600036,招商银行,86002069.324501
600037,歌华有线,982595.186104
600038,中直股份,1869673.942695
600039,四川路桥,7965161.03082
600048,保利发展,6284482.79445
600050,中国联通,13170923.8896
600051,宁波联合,195543.52
600052,东望时代,330924.338472
600054,黄山旅游,592348.2
600055,万东医疗,764930.431104
600056,中国医药,1354788.439068
600057,厦门象屿,1364316.626928
600058,五矿发展,1048328.675358
600059,古越龙山,837707.477547
600060,海信视像,3718482.54206
600061,国投资本,4175345.845769
600062,华润双鹤,1663237.071576
600063,皖维高新,1152492.292093
600064,南京高科,1327170.506948
600066,宇通客车,6349577.691564
600067,冠城新材,398017.259354
600071,凤凰光学,467412.65574
600072,中船科技,982586.945612
600073,光明肉业,542007.634816
600075,新疆天业,847067.482128
600076,康欣新材,426220.247339
600078,澄星股份,713590.971297
600081,东风科技,587313.79254
600085,同仁堂,3310729.212468
600088,中视传媒,497133.0
600089,特变电工,9539672.374048
600094,大名城,844113.29015
600095,湘财股份,2907793.934631
600096,云天化,5614811.45148
600097,开创国际,225034.746106
600098,广州发展,2142083.503391
600099,林海股份,204000.72
600100,同方股份,2301654.528831
600101,明星电力,430619.902206
600103,青山纸业,785376.811685
600104,上汽集团,12035555.546688
600105,永鼎股份,5432772.684232
600106,重庆路桥,615338.603706
600108,亚盛集团,848854.992756
600109,国金证券,3219171.781592
600110,诺德股份,1913904.567996
600111,北方稀土,13979459.611014
600113,浙江东日,1222361.97636
600114,东睦股份,1780115.481576
600115,中国东航,5941712.747657
600116,三峡水利,1200825.743712
600117,西宁特钢,745421.302253
600118,中国卫星,6813502.39587
600120,浙江东方,1680367.694064
600121,郑州煤电,623826.963456
600123,兰花科创,1038634.214805
600125,铁龙物流,708898.377582
600126,杭钢股份,2120874.744124
600127,金健米业,789393.35814
600128,苏豪弘业,209752.375
600129,太极集团,760957.0953
600130,波导股份,342750.0
600131,国网信通,1779506.861712
600132,重庆啤酒,1934916.849604
600133,东湖高新,898840.214625
600135,乐凯胶片,413320.402953
600137,浪莎股份,174408.352872
600138,中青旅,529850.88
600141,兴发集团,3628052.628283
600143,金发科技,3607076.832332
600148,长春一东,242983.74465
600149,廊坊发展,196542.72
600150,中国船舶,28198502.966136
600151,航天机电,1411304.250408
600152,维科技术,427496.135
600153,建发股份,2455909.152697
600155,华创云信,1360126.606202
600156,华升股份,349032.089336
600157,永泰能源,3381753.442475
600158,中体产业,707161.130379
600159,大龙地产,226590.882336
600160,巨化股份,10237437.139152
600161,天坛生物,2428212.135688
600162,香江控股,1532897.479218
600163,中闽能源,1000975.971218
600165,宁科生物,230134.884844
600166,福田汽车,2296046.10643
600167,联美控股,1312447.46854
600168,武汉控股,442061.918205
600170,上海建工,2025994.261632
600171,上海贝岭,1607838.051204
600172,黄河旋风,2027875.922032
600173,卧龙新能,432156.822548
600176,中国巨石,15957836.678504
600177,雅戈尔,3701829.268926
600178,东安动力,471140.92261
600179,安通控股,1784372.66469
600182,S佳通,221510.0
600183,生益科技,33161546.78375
600184,光电股份,1037254.89304
600185,珠免集团,1032983.17566
600186,莲花控股,2125496.289708
600188,兖矿能源,12852674.95512
600189,泉阳泉,569297.458352
600191,华资实业,501904.62
600192,长城电工,321150.796
600195,中牧股份,704592.2994
600196,复星医药,4732704.03505
600197,伊力特,458979.47549
600198,大唐电信,981670.152216
600199,金种子酒,495321.008472
600201,生物股份,1352911.22598
600202,哈空调,195887.083392
600203,福日电子,652286.8902
600206,有研新材,3828114.167304
600207,安彩高科,480386.836314
600208,衢州发展,2475821.114067
600210,紫江企业,926725.792538
600211,西藏药业,1226746.859976
600212,绿能慧充,436141.295681
600215,派斯林,306568.41248
600216,浙江医药,1206361.8543
600217,中再资环,538737.443725
600218,全柴动力,335847.537549
600219,南山铝业,5649981.167028
600221,海航控股,5569916.94129
600222,太龙药业,475458.70555
600223,福瑞达,577411.0642
600226,亨通股份,1698371.678904
600227,赤天化,548090.315487
600228,返利科技,428518.29231
600229,城市传媒,355460.787792
600230,沧州大化,605211.00393
600231,凌钢股份,496367.091675
600232,金鹰股份,241443.676128
600233,圆通速递,5813979.911724
600234,科新发展,582534.039087
600235,民丰特纸,206564.4
600236,桂冠电力,7787789.268376
600237,铜峰电子,505938.79395
600241,时代万恒,219843.679905
600246,万通发展,2257152.496344
600248,陕建股份,1074664.39294
600249,两面针,292600.0
600250,南京商旅,306848.367324
600251,冠农股份,841484.050389
600252,中恒集团,706884.20154
600255,鑫科材料,614089.9647
600256,广汇能源,4289033.988844
600257,大湖股份,283448.703732
600258,首旅酒店,1334340.73557
600259,中稀有色,2590220.07109
600261,阳光照明,428552.002086
600262,北方股份,368424.0
600266,城建发展,892569.70801
600267,海正药业,1373836.719744
600268,国电南自,1074394.1861
600269,赣粤高速,915479.549488
600271,航天信息,1274784.630944
600272,开开实业,281120.0
600273,嘉化能源,881199.729984
600276,恒瑞医药,29356168.464948
600278,东方创业,565360.757649
600279,重庆港,523408.030803
600280,中央商场,352040.453856
600281,华阳新材,246398.569975
600282,南钢股份,2922253.139214
600283,钱江水利,457633.116768
600284,浦东建设,506473.632
600285,羚锐制药,1110887.843046
600287,苏豪时尚,219271.629148
600288,大恒科技,487468.8
600292,电投水电,529336.717515
600293,三峡新材,338762.353432
600295,鄂尔多斯,2906072.669634
600298,安琪酵母,3598317.677258
600299,安迪苏,2639370.823249
600300,维维股份,528805.49286
600301,华锡有色,1238184.557457
600303,曙光股份,203253.6633
600305,恒顺醋业,752218.657256
600307,酒钢宏兴,926976.898752
600308,华泰股份,496016.547552
600309,万华化学,24311242.647516
600310,广西能源,656638.403456
600312,平高电气,2765405.627742
600313,农发种业,791087.222653
600315,上海家化,1251684.77476
600316,洪都航空,2322733.904368
600318,新力金融,376342.081888
600319,亚星化学,252786.518368
