open_lo,open_hi,lbc_lo,lbc_hi,zbc_max,mv_lo,mv_hi,fbt_max,plate_min,top_n,tp,sl,cost,rank,require_not_one_word,n,days,win_rate,avg_ret,sum_ret,max_dd,tp_share,in_n,in_wr,in_avg,oos_n,oos_wr,oos_avg
2.5,5.5,1,4,1,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,44,44,0.9545454545454546,0.0027155273666901567,0.11948320413436689,-0.09064114448483129,0.9545454545454546,29,0.9310344827586207,0.0007580415218747196,15,1.0,0.006500000000000002
2.5,5.5,1,4,1,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,42,42,0.9523809523809523,0.0025353143841515924,0.10648320413436688,-0.09064114448483129,0.9523809523809523,29,0.9310344827586207,0.0007580415218747196,13,1.0,0.0065000000000000014
2.5,5.5,1,3,1,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,41,41,0.9512195121951219,0.002438614734984558,0.09998320413436687,-0.09651380475393079,0.9512195121951219,27,0.9259259259259259,0.00033271126423581006,14,1.0,0.0065000000000000014
2.5,5.5,1,4,0,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,40,40,0.95,0.0023370801033591715,0.09348320413436687,-0.09064114448483129,0.95,29,0.9310344827586207,0.0007580415218747196,11,1.0,0.006500000000000001
2.5,5.5,1,4,1,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,40,40,0.95,0.0023370801033591715,0.09348320413436687,-0.09651380475393079,0.95,25,0.92,-0.00016067183462532519,15,1.0,0.006500000000000002
2.5,5.5,1,3,1,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,39,39,0.9487179487179487,0.002230338567547869,0.08698320413436689,-0.09651380475393079,0.9487179487179487,27,0.9259259259259259,0.00033271126423581006,12,1.0,0.0065000000000000014
2.5,5.5,1,4,1,25,120,100000,2,1,0.008,0.0,0.0015,open_pct,True,38,38,0.9473684210526315,0.0021179790561675496,0.08048320413436688,-0.09651380475393079,0.9473684210526315,25,0.92,-0.00016067183462532519,13,1.0,0.0065000000000000014
2.5,5.5,1,3,0,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,37,37,0.9459459459459459,0.001999546057685591,0.07398320413436688,-0.09651380475393079,0.9459459459459459,27,0.9259259259259259,0.00033271126423581006,10,1.0,0.006500000000000001
2.5,5.5,1,4,0,20,150,100000,2,1,0.008,0.0,0.0015,open_pct,True,37,37,0.9459459459459459,0.001999546057685591,0.07398320413436688,-0.09064114448483129,0.9459459459459459,29,0.9310344827586207,0.0007580415218747196,8,1.0,0.006500000000000001
2.5,5.5,1,2,1,20,150,100000,1,1,0.008,0.0,0.0015,open_pct,True,37,37,0.9459459459459459,0.0019995460576855907,0.07398320413436686,-0.08483333333333332,0.9459459459459459,24,0.9166666666666666,-0.0004381998277347132,13,1.0,0.0065000000000000014
2.5,5.5,1,3,1,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,37,37,0.9459459459459459,0.0019995460576855907,0.07398320413436686,-0.10234853924881349,0.9459459459459459,23,0.9130434782608695,-0.0007398606898101372,14,1.0,0.0065000000000000014
2.5,5.5,1,4,1,20,150,100000,1,3,0.008,0.0,0.0015,open_pct,True,53,44,0.9433962264150944,0.0018885043587941017,0.10009073101608738,-0.09064114448483129,0.9433962264150944,29,0.9310344827586207,0.0007580415218747196,24,0.9583333333333334,0.0032544802867383545
2.5,5.5,1,4,1,20,150,100000,1,3,0.008,0.0,0.0015,score,True,53,44,0.9433962264150944,0.0018885043587941013,0.10009073101608737,-0.09064114448483129,0.9433962264150944,29,0.9310344827586207,0.0007580415218747196,24,0.9583333333333334,0.0032544802867383545
