id,策略,脚本,市场,信号日数,有票天数,覆盖率%,日均选出,总交易笔数,次日OC胜率%,次日OC均收益%,次日CC均收益%,3日均收益%,5日均收益%,10日均收益%,组合期末净值,组合年化%,组合波动%,最大回撤%
cyb_adj,趋势王·创业板（参数调整版）,创业板（参数调整版.py,创业板,614,474,77.2,4.78,2935.0,47.8,0.348,-0.023,0.17,0.035,0.427,1.1679,6.29,45.36,-40.89
jisu,极速精简,极速精简.py,主板(+中小板),614,595,96.9,4.39,2694.0,45.9,0.157,-0.15,0.115,0.018,0.077,1.0892,3.42,33.63,-54.87
jisu_opt,极速精简优化版,极速精简优化版.py,主板(+中小板),614,595,96.9,4.39,2694.0,45.9,0.157,-0.15,0.115,0.018,0.077,1.0892,3.42,33.63,-54.87
dragon,龙头盯盘,龙头盯盘.py,全市场,614,614,100.0,3.0,1842.0,50.7,0.206,2.92,-1.454,-2.468,-4.241,0.259,-41.21,86.58,-95.39
cyb_loose,趋势王·创业板（放宽版）,趋势王·创业板（放宽版）.py,创业板,614,541,88.1,10.61,6512.0,48.7,0.369,0.004,0.352,0.085,0.328,2.3443,39.79,45.05,-37.4
trend_main,趋势王主板精选,趋势王主板精选.py,主板(+中小板),614,582,94.8,4.15,2550.0,47.0,0.276,-0.387,0.159,0.093,0.273,1.4372,15.33,37.0,-44.87
trend_stable,趋势稳健少,趋势稳健少.py,主板(+中小板),614,607,98.9,4.76,2925.0,48.6,0.38,-0.215,0.269,0.197,0.387,3.8541,69.97,34.54,-22.6
yaolong_opt,主板妖龙优化,主板妖龙优化.py,沪深主板(不含002),614,299,48.7,2.28,1401.0,45.6,-0.052,0.037,-1.027,-2.041,-2.656,2.5762,45.07,44.08,-37.29
yaolong_v1,主板妖龙优化1,主板妖龙优化1.py,沪深主板(不含002),614,433,70.5,2.98,1827.0,46.1,0.072,0.065,-1.099,-2.06,-2.72,3.5389,64.36,61.03,-46.4
sh000300,基准·沪深300,-,指数,614,614,100.0,,,52.5,0.07,0.07,,,,1.4687,16.31,18.47,-15.66
sz399006,基准·创业板指,-,指数,614,614,100.0,,,50.1,0.163,0.163,,,,2.332,39.5,34.83,-29.14
sh000001,基准·上证指数,-,指数,614,614,100.0,,,55.0,0.065,0.065,,,,1.4402,15.42,16.34,-14.73
