buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20241230,0.022736983842010672,1,603535,嘉诚国际,一进二,20250102,0.6973140495867725,66.0,True
20250310,-0.04286690647482011,1,601956,东贝集团,一进二,20250312,1.2750455373406133,78.0,False
20250314,0.0063740157480314825,1,000813,德展健康,一进二,20250318,1.3297872340425565,68.0,True
20250411,-0.02783737748801879,1,605080,浙江自然,一进二,20250415,0.8710422019946984,78.0,False
20250417,0.3113654970760234,1,000965,天保基建,一进二,20250421,1.4836795252225476,56.0,True
20250430,0.06401724137931036,1,002009,天奇股份,一进二,20250507,1.2569832402234526,56.0,True
20250527,0.05539206762028598,1,002161,远 望 谷,一进二,20250529,0.9848982271831952,78.0,True
20250826,0.03695147789693981,1,603163,圣晖集成,一进二,20250828,0.5259006047856785,56.0,True
20250905,0.07304545454545447,1,002403,爱仕达,一进二,20250909,0.917431192660545,78.0,True
20251009,-0.16967234190410013,1,603496,恒为科技,一进二,20251013,1.4666478634889346,66.0,False
20251031,0.02817157417893551,1,605305,中际联合,一进二,20251104,0.6382493731479366,68.0,True
20251107,0.028967988300292513,1,000922,佳电股份,一进二,20251111,1.0924024640657004,78.0,True
20251201,-0.051322064056939565,1,600227,赤天化,一进二,20251203,1.4440433212996373,68.0,False
20260430,0.042636191677175195,1,000551,创元科技,一进二,20260507,1.0191082802547768,56.0,True
20260612,0.031833333333333214,1,600470,六国化工,一进二,20260616,0.5291005291005346,68.0,True
20260803,0.07274749163879585,1,605178,时空科技,一进二,20260805,0.8431703204047292,74.0,True
20260818,0.20268006430868174,1,000505,京粮控股,一进二,20260820,0.8103727714748654,74.0,True
20260827,0.05644205794205798,1,605162,新中港,一进二,20260831,1.1111111111111072,74.0,True
