buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20241219,-0.07058143551314322,2,"600283,002331","钱江水利,皖通科技",首板,20241223,-0.10813179109708804,36.0,False
20241224,0.18676774001192603,2,"000759,600368","中百集团,五洲交通",首板,20241226,-1.3392150447987916,38.0,True
20241227,-0.021504919373386888,2,"603721,000665","中广天择,湖北广电",首板,20241231,-0.2108949676261962,51.0,False
20250102,-0.05133334798158373,2,"002449,002356","国星光电,鹏飞绿能",首板,20250106,-0.30395136778115783,39.0,False
20250107,0.034063858695652094,2,"603803,002127","瑞斯康达,南极电商",首板,20250109,-0.8151038869595284,43.0,True
20250110,0.062311188811188745,1,603915,国茂股份,首板,20250114,0.0,42.0,True
20250115,-0.02025709313586327,2,"000715,605086","中兴商业,龙高股份",首板,20250117,1.045197133522524,62.0,False
20250120,-0.0031673305719243094,2,"002582,605258","好想你,协和电子",首板,20250122,-0.06329113924051222,39.0,False
20250123,0.010053510998308037,2,"002127,600255","南极电商,鑫科材料",首板,20250127,1.1406535636635073,44.0,True
20250205,0.022517467248908407,1,603955,大千生态,首板,20250207,0.6040637012630468,50.0,True
20250210,0.0005009285517432738,2,"001238,605136","浙江正特,丽人丽妆",首板,20250212,0.0,54.0,True
20250213,0.013553387776491843,2,"000042,002765","中洲控股,蓝黛科技",首板,20250217,-0.19242341852455658,43.0,True
20250218,-0.01669936833793917,2,"000691,600657","亚太实业,信达地产",首板,20250220,0.8661255565524328,46.0,False
20250221,0.12461663746741541,2,"603758,603915","秦安股份,国茂股份",首板,20250225,-0.10067410872213745,38.0,True
20250226,-0.07258020414669669,2,"603150,603086","万朗磁塑,先达股份",首板,20250228,0.19687378089867646,52.0,False
20250303,0.016893624166183174,2,"603579,002357","荣泰健康,富临运业",首板,20250305,0.5540371846358361,46.0,True
20250306,0.06213257288204438,2,"001380,603286","华纬科技,日盈电子",首板,20250310,0.6680719399131618,62.0,True
20250311,-0.0025935045656189093,2,"000818,605008","航锦科技,长鸿高科",首板,20250313,-0.7864895806854177,40.0,False
20250314,0.112133229714448,2,"002553,001207","南方精工,联科科技",首板,20250318,-0.1950186562776346,36.0,True
20250319,-0.04645912255140039,2,"002358,603912","森源电气,佳力图",首板,20250321,0.08168245590565726,43.0,False
20250324,0.058185489635453724,1,605318,法狮龙,首板,20250326,-1.9277953031896278,38.0,True
20250327,-0.08510422285811742,2,"600480,002527","凌云股份,新时达",首板,20250331,-1.0132628894046314,37.0,False
20250401,-0.040037424334396776,2,"002657,600797","中科金财,浙大网新",首板,20250403,-0.3846970320149745,48.0,False
20250409,0.05029490994139457,2,"603815,002457","交建股份,青龙管业",首板,20250411,-1.0982952379602784,32.0,True
20250414,0.11553476740339313,2,"002165,600228","红 宝 丽,返利科技",首板,20250416,0.1560282193822593,44.0,True
20250417,-0.012611871360911185,2,"603999,601226","读者传媒,华电科工",首板,20250421,-0.4713169474347467,36.0,False
20250422,-0.012781835562181987,2,"000880,002206","潍柴重机,海 利 得",首板,20250424,-0.4535482683289016,48.0,False
20250425,-0.037191342500205116,2,"000042,000862","中洲控股,银星能源",首板,20250429,-0.07949125596184436,39.0,False
20250430,0.02290128697910737,2,"002765,603611","蓝黛科技,诺力股份",首板,20250507,1.117998693452582,52.0,True
