buy_date,ret,n,codes,names,categories,sell_date,open_pct,score,win
20241219,-0.1429196282471139,2,"002076,002205","星光股份,国统股份",一进二,20241223,0.04761690849466871,42.0,False
20241230,-0.04865172504151932,2,"603535,002560","嘉诚国际,通达股份",一进二,20250102,-0.13962422520661377,65.0,False
20250103,-0.06460679611650494,1,600683,京投发展,一进二,20250107,-1.4354066985645786,44.0,False
20250108,0.044123210585698736,2,"002177,000430","御银股份,张家界",一进二,20250110,-0.12371063765155843,59.0,True
20250113,-0.012786681715575563,1,600657,信达地产,一进二,20250115,1.3729977116704761,68.0,False
20250117,0.1646841154838825,2,"603200,002767","上海洗霸,先锋电子",一进二,20250121,0.796735328410414,64.0,True
20250122,-0.03696099290780147,1,600558,大西洋,一进二,20250124,0.23696682464455776,70.0,False
20250205,-0.005052598913107498,2,"600300,600758","维维股份,辽宁能源",一进二,20250207,0.9544374257187627,46.0,False
20250210,-0.0015,1,605228,神通科技,一进二,20250212,-0.18816445573430762,64.0,False
20250214,-0.023558823529411688,1,002313,日海智能,一进二,20250218,1.830282861896837,68.0,False
20250220,-0.03900000000000009,1,603903,中持股份,一进二,20250224,0.13908205841446364,70.0,False
20250227,-0.2176616161616161,1,000815,美利云,一进二,20250303,1.5037593984962294,78.0,False
20250305,0.04684510970621042,1,002697,红旗连锁,一进二,20250307,-0.3705075954057002,64.0,True
20250310,-0.04286690647482011,1,601956,东贝集团,一进二,20250312,1.2750455373406133,78.0,False
20250313,-0.04913656784338033,1,603297,永新光学,一进二,20250317,-1.8996599608670062,32.0,False
20250319,-0.13862374581939801,1,002580,圣阳股份,一进二,20250321,0.3355704697986628,64.0,False
20250326,-0.025827200851452015,1,603066,音飞储存,一进二,20250328,0.0,56.0,False
20250403,-0.1666830260946111,2,"603499,605228","翔港科技,神通科技",一进二,20250408,-0.8881783462119264,62.0,False
20250409,0.008841261633919352,1,002734,利民股份,一进二,20250411,1.5271547198625557,72.0,True
20250415,-0.007233454540798823,2,"000823,002127","超声电子,南极电商",一进二,20250417,0.9110346266166136,67.0,False
20250423,0.04919380203515261,1,603173,福斯达,一进二,20250425,1.4642387835554604,46.0,True
20250430,0.03578350756748322,2,"002009,603680","天奇股份,今创集团",一进二,20250507,1.845177599254244,51.0,True
20250508,-0.02834298582225675,2,"000965,001236","天保基建,弘业期货",一进二,20250512,-0.7473979405651587,52.0,False
20250515,-0.14250000000000002,1,000576,甘化科工,一进二,20250519,-0.6951340615690249,48.0,False
20250522,-0.12764980289093303,1,603970,中农立华,一进二,20250526,2.4915824915825002,28.0,False
20250527,0.05539206762028598,1,002161,远 望 谷,一进二,20250529,0.9848982271831952,78.0,True
20250606,-0.10043048128342252,1,600698,湖南天雁,一进二,20250610,-0.5319148936170137,38.0,False
20250613,0.04133360790774293,1,603215,比依股份,一进二,20250617,-1.0326086956521596,54.0,True
20250618,-0.13281313131313127,1,603610,麒盛科技,一进二,20250620,-1.1520737327188946,22.0,False
20250623,0.027755319148936197,1,002067,景兴纸业,一进二,20250625,-1.5706806282722474,22.0,True
20250702,-0.009468127490039722,1,002786,银宝山新,一进二,20250704,-0.9861932938856177,32.0,False
20250710,-0.003020796897574339,1,605018,长华集团,一进二,20250714,-1.1277347567852036,38.0,False
20250715,-0.015439592641354472,2,"000777,600268","中核科技,国电南自",一进二,20250717,1.754959957240565,67.0,False
20250722,-0.01683742331288346,1,002132,恒星科技,一进二,20250724,-0.7610350076103556,32.0,False
20250801,-0.011809278350515427,1,000889,中嘉博创,一进二,20250805,0.7792207792207684,64.0,False
20250806,0.04525324675324677,1,002022,科华生物,一进二,20250808,0.0,60.0,True
20250811,0.005459547629404206,1,000501,武商集团,一进二,20250813,0.08707009142359112,66.0,True
20250819,-0.031429568318317,2,"603211,001400","晋拓股份,江顺科技",一进二,20250821,-0.5038095238095286,36.0,False
20250822,0.0065682555874989074,1,603633,徕木股份,一进二,20250826,0.0,34.0,True
20250903,0.025909372236958383,1,002248,华东数控,一进二,20250905,0.0,60.0,True
20250916,-0.05316051660516613,1,002330,得利斯,一进二,20250918,-0.5504587155963359,42.0,False
20250922,0.010780701754385781,1,600718,东软集团,一进二,20250924,0.8849557522123908,78.0,True
20250925,-0.15898031496062998,1,001208,华菱线缆,一进二,20250929,0.13712718546452507,70.0,False
20251009,-0.05812404973992885,2,"603496,002631","恒为科技,德尔未来",一进二,20251013,0.45083805603826077,47.0,False
20251017,-0.0721878306878308,1,002190,成飞集成,一进二,20251021,0.31847133757960666,68.0,False
20251023,-0.025786854179134233,2,"002307,002546","北新路桥,新联电子",一进二,20251027,0.0,52.0,False
20251028,-0.0874916782246879,1,002515,金字火腿,一进二,20251030,0.0,60.0,False
20251031,0.013335787089467754,2,"002314,605305","南山控股,中际联合",一进二,20251104,0.9460839342228744,71.0,True
20251107,0.028967988300292513,1,000922,佳电股份,一进二,20251111,1.0924024640657004,78.0,True
20251112,0.021903083700440418,1,002328,新朋股份,一进二,20251114,-1.625135427952329,32.0,True
