cat,open_lo,open_hi,zbc_max,fbt_max,hs_max,mv_lo,mv_hi,top_n,hold_days,cost,prefer_open,n,days,win_rate,avg_ret,median_ret,comp_ret,max_dd,raw_n,raw_wr
一进二,0.5,1.5,0,103000,16,30,90,1,3,0.0015,1.0,18,18,0.7777777777777778,0.04120348608685831,0.03439240561513651,0.9176477665010605,-0.1696723419041002,19,0.7368421052631579
一进二,0.5,1.5,0,103000,16,30,90,2,3,0.0015,1.0,18,18,0.7777777777777778,0.0327941039586257,0.03439240561513651,0.6762933115468928,-0.1696723419041002,21,0.7142857142857143
二进三,0.0,2.2,1,103000,8,25,100,1,3,0.0015,1.0,24,24,0.75,0.07321249054418051,0.07632141257402275,3.4972075037226187,-0.35626436025492514,26,0.7307692307692307
二进三,0.0,2.2,2,103000,8,25,100,1,3,0.0015,1.0,24,24,0.75,0.07321249054418051,0.07632141257402275,3.4972075037226187,-0.35626436025492514,26,0.7307692307692307
二进三,0.0,2.2,1,103000,8,25,100,2,3,0.0015,1.0,24,24,0.75,0.07321249054418051,0.07632141257402275,3.4972075037226187,-0.35626436025492514,26,0.7307692307692307
二进三,0.0,2.2,2,103000,8,25,100,2,3,0.0015,1.0,24,24,0.75,0.07321249054418051,0.07632141257402275,3.4972075037226187,-0.35626436025492514,26,0.7307692307692307
一进二,0.5,1.5,0,103000,16,20,120,2,3,0.0015,1.0,24,24,0.75,0.03583573513832591,0.03439240561513651,1.1351620022515272,-0.17865891262419764,30,0.6666666666666666
一进二,0.5,1.5,0,103000,16,25,100,2,3,0.0015,1.0,20,20,0.75,0.02867260521023025,0.030400660816812863,0.6485637546805416,-0.17865891262419775,26,0.6538461538461539
一进二,0.5,1.5,1,103000,16,20,120,1,3,0.0015,1.0,33,33,0.7272727272727273,0.0457234528207769,0.028967988300292513,2.860149432055081,-0.1696723419041002,44,0.6363636363636364
二进三,0.3,1.8,1,103000,8,30,90,1,3,0.0015,1.0,11,11,0.7272727272727273,0.06820610019795631,0.07920500927643787,0.9151632534947898,-0.21015122826086963,11,0.7272727272727273
二进三,0.3,1.8,2,103000,8,30,90,1,3,0.0015,1.0,11,11,0.7272727272727273,0.06820610019795631,0.07920500927643787,0.9151632534947898,-0.21015122826086963,11,0.7272727272727273
二进三,0.3,1.8,1,103000,8,30,90,2,3,0.0015,1.0,11,11,0.7272727272727273,0.06820610019795631,0.07920500927643787,0.9151632534947898,-0.21015122826086963,11,0.7272727272727273
二进三,0.3,1.8,2,103000,8,30,90,2,3,0.0015,1.0,11,11,0.7272727272727273,0.06820610019795631,0.07920500927643787,0.9151632534947898,-0.21015122826086963,11,0.7272727272727273
二进三,0.0,2.0,1,103000,8,30,90,1,3,0.0015,1.0,18,18,0.7222222222222222,0.07651811111248424,0.08039096617668046,2.2825063059555455,-0.25403052962059347,18,0.7222222222222222
二进三,0.0,2.0,2,103000,8,30,90,1,3,0.0015,1.0,18,18,0.7222222222222222,0.07651811111248424,0.08039096617668046,2.2825063059555455,-0.25403052962059347,18,0.7222222222222222
二进三,0.0,2.0,1,103000,8,30,90,2,3,0.0015,1.0,18,18,0.7222222222222222,0.07651811111248424,0.08039096617668046,2.2825063059555455,-0.25403052962059347,18,0.7222222222222222
二进三,0.0,2.0,2,103000,8,30,90,2,3,0.0015,1.0,18,18,0.7222222222222222,0.07651811111248424,0.08039096617668046,2.2825063059555455,-0.25403052962059347,18,0.7222222222222222
一进二,0.5,1.5,1,103000,16,25,100,1,3,0.0015,1.0,28,28,0.7142857142857143,0.0434541583655497,0.028625287707179814,1.9644270271283824,-0.1696723419041002,37,0.6216216216216216
一进二,0.5,1.5,1,103000,16,25,100,2,3,0.0015,1.0,28,28,0.7142857142857143,0.03669256332568459,0.025509785478038893,1.4961919397628622,-0.1696723419041002,43,0.5813953488372093
二进三,0.0,2.0,1,103000,8,25,100,1,3,0.0015,1.0,21,21,0.7142857142857143,0.07611377029741238,0.08157692307692305,2.854408306192208,-0.4003046751037218,21,0.7142857142857143
二进三,0.0,2.0,2,103000,8,25,100,1,3,0.0015,1.0,21,21,0.7142857142857143,0.07611377029741238,0.08157692307692305,2.854408306192208,-0.4003046751037218,21,0.7142857142857143
二进三,0.0,2.0,1,103000,8,25,100,2,3,0.0015,1.0,21,21,0.7142857142857143,0.07611377029741238,0.08157692307692305,2.854408306192208,-0.4003046751037218,21,0.7142857142857143
二进三,0.0,2.0,2,103000,8,25,100,2,3,0.0015,1.0,21,21,0.7142857142857143,0.07611377029741238,0.08157692307692305,2.854408306192208,-0.4003046751037218,21,0.7142857142857143
二进三,0.0,2.2,1,103000,8,30,90,1,3,0.0015,1.0,21,21,0.7142857142857143,0.06664262059090624,0.07343781587160764,2.322534520546116,-0.28404426096987057,22,0.7272727272727273
二进三,0.0,2.2,2,103000,8,30,90,1,3,0.0015,1.0,21,21,0.7142857142857143,0.06664262059090624,0.07343781587160764,2.322534520546116,-0.28404426096987057,22,0.7272727272727273
二进三,0.0,2.2,1,103000,8,30,90,2,3,0.0015,1.0,21,21,0.7142857142857143,0.06664262059090624,0.07343781587160764,2.322534520546116,-0.28404426096987057,22,0.7272727272727273
二进三,0.0,2.2,2,103000,8,30,90,2,3,0.0015,1.0,21,21,0.7142857142857143,0.06664262059090624,0.07343781587160764,2.322534520546116,-0.28404426096987057,22,0.7272727272727273
一进二,0.5,1.5,1,103000,16,30,90,1,3,0.0015,1.0,24,24,0.7083333333333334,0.04460647019355585,0.030400660816812863,1.5798062174898635,-0.1696723419041002,32,0.65625
一进二,0.5,1.5,0,103000,16,20,120,1,3,0.0015,1.0,24,24,0.7083333333333334,0.04152461393910588,0.03439240561513651,1.4068240779461596,-0.19068379288144977,27,0.6666666666666666
一进二,0.5,1.5,1,103000,16,30,90,2,3,0.0015,1.0,24,24,0.7083333333333334,0.03671794264704655,0.025852486071151592,1.1723224850255094,-0.1696723419041003,37,0.5945945945945946
一进二,0.5,1.5,3,103000,16,20,120,1,3,0.0015,1.0,34,34,0.7058823529411765,0.04226621654236695,0.028625287707179814,2.5829035381689316,-0.1696723419041002,45,0.6222222222222222
一进二,0.5,1.5,5,103000,16,20,120,1,3,0.0015,1.0,34,34,0.7058823529411765,0.04226621654236695,0.028625287707179814,2.5829035381689316,-0.1696723419041002,45,0.6222222222222222
二进三,0.0,2.2,0,103000,8,25,100,1,3,0.0015,1.0,17,17,0.7058823529411765,0.0645550019066995,0.05462682090831189,1.518643454207194,-0.4003046751037219,18,0.6666666666666666
二进三,0.0,2.2,0,103000,8,25,100,2,3,0.0015,1.0,17,17,0.7058823529411765,0.0645550019066995,0.05462682090831189,1.518643454207194,-0.4003046751037219,18,0.6666666666666666
一进二,0.5,1.5,0,103000,16,25,100,1,3,0.0015,1.0,20,20,0.7,0.03549925977116621,0.030400660816812863,0.8583147014654655,-0.1906837928814501,23,0.6521739130434783
一进二,0.5,1.5,1,103000,12,30,90,2,3,0.0015,1.0,20,20,0.7,0.023568302411114277,0.014883751063523744,0.5058191436113364,-0.1696723419041002,31,0.5483870967741935
