strategy,year,nav,cover_pct,mean_day_pct,maxdd_pct
cyb_adj,2024,0.9028,58.2,-0.007,-40.89
cyb_adj,2025,1.5904,95.1,0.223,-12.91
cyb_adj,2026,0.8134,76.2,-0.07,-35.76
cyb_loose,2024,1.2067,77.7,0.136,-33.24
cyb_loose,2025,2.1118,99.2,0.335,-12.33
cyb_loose,2026,0.9199,85.4,-0.001,-37.4
dragon,2024,0.0984,100.0,-0.836,-95.39
dragon,2025,1.3622,100.0,0.271,-62.16
dragon,2026,1.9318,100.0,0.525,-39.3
jisu,2024,0.9504,92.3,0.001,-30.99
jisu,2025,0.7784,99.6,-0.084,-35.68
jisu,2026,1.4724,99.3,0.285,-23.26
jisu_opt,2024,0.9504,92.3,0.001,-30.99
jisu_opt,2025,0.7784,99.6,-0.084,-35.68
jisu_opt,2026,1.4724,99.3,0.285,-23.26
trend_main,2024,0.7417,86.8,-0.103,-44.87
trend_main,2025,1.1594,99.6,0.082,-24.12
trend_main,2026,1.6712,98.7,0.373,-12.52
trend_stable,2024,1.4452,97.3,0.196,-22.6
trend_stable,2025,2.0805,99.6,0.32,-19.45
trend_stable,2026,1.2818,100.0,0.193,-21.9
yaolong_opt,2024,1.1276,27.3,0.082,-24.63
yaolong_opt,2025,1.4086,63.8,0.197,-37.29
yaolong_opt,2026,1.6219,55.6,0.353,-9.24
yaolong_v1,2024,0.9051,45.5,0.032,-34.69
yaolong_v1,2025,1.3778,84.0,0.211,-46.4
yaolong_v1,2026,2.8377,85.4,0.762,-18.71
